Month,Revenue
Jul-20,"25,813.42"
Aug-20,"25,915.51"
Sep-20,"20,902.46"
Oct-20,"29,671.14"
Nov-20,"24,966.41"
Dec-20,"22,083.98"
Jan-21,"21,595.74"
Feb-21,"21,692.76"
Mar-21,"50,695.14"
Apr-21,"28,409.39"
May-21,"30,905.10"
Jun-21,"30,463.93"
Jul-21,"36,731.63"
Aug-21,"40,471.49"
Sep-21,"34,349.13"
Oct-21,"43,881.32"
Nov-21,"39,666.59"
Dec-21,"32,033.06"
Jan-22,"36,012.81"
Feb-22,"36,407.83"
Mar-22,"34,260.00"
Apr-22,"59,126.79"
May-22,"55,378.44"
Jun-22,"46,619.82"
Jul-22,"59,875.83"
Aug-22,"57,838.75"
Sep-22,"49,070.09"
Oct-22,"67,015.32"
Nov-22,"52,826.62"
Dec-22,"56,495.93"
Jan-23,"48,697.64"
Feb-23,"49,917.56"
Mar-23,"74,948.06"
Apr-23,"67,116.85"
May-23,"70,938.40"
Jun-23,"65,951.02"
Jul-23,"63,847.25"
Aug-23,"71,804.77"
Sep-23,"30,256.76"
Oct-23,"71,494.40"
Nov-23,"52,840.79"
Dec-23,"60,740.98"
Jan-24,"58,933.58"
Feb-24,"53,653.91"
Mar-24,"71,980.48"
Apr-24,"50,599.33"
May-24,"54,194.50"
Jun-24,"81,299.00"
Jul-24,"56,658.63"
Aug-24,"47,852.67"
Sep-24,"70,810.26"
Oct-24,"54,706.07"
Nov-24,"53,392.79"
Dec-24,"74,793.05"
Jan-25,"38,278.64"
Feb-25,"43,596.21"
Mar-25,"28,391.73"
